"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"56","Arko3","m","19",2,1,"throwing","r","baiting",179.92,119.99,155.55,155.372412060302,119.99
"57","Arko3","m","19",2,1,"throwing","r","bowl_displacement",305.85,37.62,158.57,157.000090909091,37.62
"58","Arko3","m","19",2,1,"throwing","r","choice",336.12,118.16,211.99,216.711538461538,118.16
"59","Arko3","m","19",2,1,"throwing","r","signaling",207.91,67.97,90.755,124.614459459459,67.97
"60","Arko3","m","19",2,2,"throwing","l","addressing",244.88,118,200.225,196.68,244.88
"61","Arko3","m","19",2,2,"throwing","l","baiting",189.87,94.77,163.035,157.846304347826,189.87
"62","Arko3","m","19",2,2,"throwing","l","bowl_displacement",408.01,41.89,173.83,189.058839285714,408.01
"63","Arko3","m","19",2,2,"throwing","l","choice",245.73,111.38,187.46,180.266947368421,245.73
"64","Arko3","m","19",2,2,"throwing","l","signaling",293.03,107.92,202.42,203.055753424658,293.03
"65","Arko3","m","19",2,3,"control","r","addressing",183.19,171.9,176.785,177.6555,171.9
"66","Arko3","m","19",2,3,"control","r","baiting",200.8,145.48,170.88,170.90427027027,145.48
"67","Arko3","m","19",2,3,"control","r","bowl_displacement",298.54,56.48,158.75,153.255223880597,56.48
"68","Arko3","m","19",2,3,"control","r","choice",310.63,54.76,139.12,168.58,54.76
"69","Arko3","m","19",2,3,"control","r","signaling",193.29,176.35,187.73,186.2625,176.35
"70","Arko3","m","19",2,4,"throwing","l","addressing",180.95,148.81,171.79,166.747777777778,180.95
"71","Arko3","m","19",2,4,"throwing","l","baiting",184.39,126.94,152.56,154.881204188482,184.39
"72","Arko3","m","19",2,4,"throwing","l","bowl_displacement",294.01,5.78,165.18,155.859523809524,294.01
"73","Arko3","m","19",2,4,"throwing","l","choice",191.6,16.29,135.71,124.463823529412,191.6
"74","Arko3","m","19",2,4,"throwing","l","signaling",249.5,119.68,180.665,177.653953488372,249.5
"75","Arko3","m","19",2,5,"throwing","r","addressing",135.36,94.84,116.43,117.251666666667,94.84
"76","Arko3","m","19",2,5,"throwing","r","baiting",168.97,63.73,113.6,120.174052631579,63.73
"77","Arko3","m","19",2,5,"throwing","r","bowl_displacement",318.67,4.45,120.01,122.935824561404,4.45
"78","Arko3","m","19",2,5,"throwing","r","choice",288.06,6.25,161.285,159.251981132075,6.25
