"","subject.x","session","trial","condition","transition_category","n","transition_binary"
"91","Diara",1,1,"throwing","Face-Hand",0,0
"92","Diara",1,1,"throwing","Face-Correct Bowl",0,0
"93","Diara",1,1,"throwing","Hand-Correct Bowl",0,0
"94","Diara",1,2,"throwing","Face-Hand",0,0
"95","Diara",1,2,"throwing","Face-Correct Bowl",0,0
"96","Diara",1,2,"throwing","Hand-Correct Bowl",0,0
"97","Diara",1,3,"control","Face-Hand",0,0
"98","Diara",1,3,"control","Face-Correct Bowl",0,0
"99","Diara",1,3,"control","Hand-Correct Bowl",0,0
"100","Diara",1,4,"throwing","Face-Hand",1,1
"101","Diara",1,4,"throwing","Face-Correct Bowl",0,0
"102","Diara",1,4,"throwing","Hand-Correct Bowl",2,1
"103","Diara",1,5,"throwing","Face-Hand",0,0
"104","Diara",1,5,"throwing","Face-Correct Bowl",0,0
"105","Diara",1,5,"throwing","Hand-Correct Bowl",2,1
"106","Diara",1,6,"throwing","Face-Hand",1,1
"107","Diara",1,6,"throwing","Face-Correct Bowl",0,0
"108","Diara",1,6,"throwing","Hand-Correct Bowl",0,0
"109","Diara",1,7,"throwing","Face-Hand",1,1
"110","Diara",1,7,"throwing","Face-Correct Bowl",0,0
"111","Diara",1,7,"throwing","Hand-Correct Bowl",0,0
"112","Diara",1,8,"control","Face-Hand",0,0
"113","Diara",1,8,"control","Face-Correct Bowl",0,0
"114","Diara",1,8,"control","Hand-Correct Bowl",0,0
"115","Diara",1,9,"p+g","Face-Hand",0,0
"116","Diara",1,9,"p+g","Face-Correct Bowl",0,0
"117","Diara",1,9,"p+g","Hand-Correct Bowl",1,1
"118","Diara",1,10,"p+g","Face-Hand",0,0
"119","Diara",1,10,"p+g","Face-Correct Bowl",0,0
"120","Diara",1,10,"p+g","Hand-Correct Bowl",0,0
"121","Diara",1,11,"p+g","Face-Hand",0,0
"122","Diara",1,11,"p+g","Face-Correct Bowl",0,0
"123","Diara",1,11,"p+g","Hand-Correct Bowl",0,0
"124","Diara",1,12,"p+g","Face-Hand",0,0
"125","Diara",1,12,"p+g","Face-Correct Bowl",0,0
"126","Diara",1,12,"p+g","Hand-Correct Bowl",0,0
"127","Diara",1,13,"control","Face-Hand",0,0
"128","Diara",1,13,"control","Face-Correct Bowl",0,0
"129","Diara",1,13,"control","Hand-Correct Bowl",0,0
"130","Diara",1,14,"p+g","Face-Hand",0,0
"131","Diara",1,14,"p+g","Face-Correct Bowl",0,0
"132","Diara",1,14,"p+g","Hand-Correct Bowl",0,0
"133","Diara",1,15,"p+g","Face-Hand",0,0
"134","Diara",1,15,"p+g","Face-Correct Bowl",1,1
"135","Diara",1,15,"p+g","Hand-Correct Bowl",1,1
"136","Diara",2,1,"p+g","Face-Hand",0,0
"137","Diara",2,1,"p+g","Face-Correct Bowl",1,1
"138","Diara",2,1,"p+g","Hand-Correct Bowl",0,0
"139","Diara",2,2,"p+g","Face-Hand",0,0
"140","Diara",2,2,"p+g","Face-Correct Bowl",0,0
"141","Diara",2,2,"p+g","Hand-Correct Bowl",2,1
"142","Diara",2,3,"control","Face-Hand",0,0
"143","Diara",2,3,"control","Face-Correct Bowl",0,0
"144","Diara",2,3,"control","Hand-Correct Bowl",0,0
"145","Diara",2,4,"p+g","Face-Hand",0,0
"146","Diara",2,4,"p+g","Face-Correct Bowl",0,0
"147","Diara",2,4,"p+g","Hand-Correct Bowl",0,0
"148","Diara",2,5,"p+g","Face-Hand",1,1
"149","Diara",2,5,"p+g","Face-Correct Bowl",1,1
"150","Diara",2,5,"p+g","Hand-Correct Bowl",0,0
"151","Diara",2,6,"p+g","Face-Hand",0,0
"152","Diara",2,6,"p+g","Face-Correct Bowl",0,0
"153","Diara",2,6,"p+g","Hand-Correct Bowl",1,1
"154","Diara",2,7,"p+g","Face-Hand",0,0
"155","Diara",2,7,"p+g","Face-Correct Bowl",0,0
"156","Diara",2,7,"p+g","Hand-Correct Bowl",1,1
"157","Diara",2,8,"control","Face-Hand",0,0
"158","Diara",2,8,"control","Face-Correct Bowl",0,0
"159","Diara",2,8,"control","Hand-Correct Bowl",0,0
"160","Diara",2,9,"pointing","Face-Hand",0,0
"161","Diara",2,9,"pointing","Face-Correct Bowl",0,0
"162","Diara",2,9,"pointing","Hand-Correct Bowl",0,0
"163","Diara",2,10,"pointing","Face-Hand",0,0
"164","Diara",2,10,"pointing","Face-Correct Bowl",0,0
"165","Diara",2,10,"pointing","Hand-Correct Bowl",0,0
"166","Diara",2,11,"pointing","Face-Hand",0,0
"167","Diara",2,11,"pointing","Face-Correct Bowl",0,0
"168","Diara",2,11,"pointing","Hand-Correct Bowl",0,0
"169","Diara",2,12,"pointing","Face-Hand",0,0
"170","Diara",2,12,"pointing","Face-Correct Bowl",0,0
"171","Diara",2,12,"pointing","Hand-Correct Bowl",3,1
"172","Diara",2,13,"control","Face-Hand",0,0
"173","Diara",2,13,"control","Face-Correct Bowl",0,0
"174","Diara",2,13,"control","Hand-Correct Bowl",0,0
"175","Diara",2,14,"pointing","Face-Hand",0,0
"176","Diara",2,14,"pointing","Face-Correct Bowl",1,1
"177","Diara",2,14,"pointing","Hand-Correct Bowl",0,0
"178","Diara",2,15,"pointing","Face-Hand",0,0
"179","Diara",2,15,"pointing","Face-Correct Bowl",0,0
"180","Diara",2,15,"pointing","Hand-Correct Bowl",0,0
"181","Jimi",1,1,"p+g","Face-Hand",0,0
"182","Jimi",1,1,"p+g","Face-Correct Bowl",0,0
"183","Jimi",1,1,"p+g","Hand-Correct Bowl",0,0
