"","X","yarbus_file","trial","interest_period","subject","session","aoi","fixation_time","breed","age","sex","neutering_status","birth_date","test_date","condition","baited_side","correct","chosen_side","dark_green_bowl_side","ET_data","comment","chosen_bowl","correct_bowl","ip_duration","prop_fixation_time","experimenter"
"5890",5890,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"torso",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,0,"kg"
"5891",5891,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,0,"kg"
"5892",5892,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,0,"kg"
"5893",5893,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"hand",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,0,"kg"
"5894",5894,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"bright_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,0,"kg"
"5895",5895,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"face",869,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,1,"kg"
"5896",5896,"mobileET_ostension_emil_s2_yarbus",3,"addressing","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",868,0,"kg"
"5897",5897,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5898",5898,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"face",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5899",5899,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5900",5900,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"hand",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5901",5901,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5902",5902,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5903",5903,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5904",5904,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5905",5905,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"torso",1370,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0.219551282051282,"kg"
"5906",5906,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"bright_green_bowl",370,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0.0592948717948718,"kg"
"5907",5907,"mobileET_ostension_emil_s2_yarbus",3,"baiting","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",6240,0,"kg"
"5908",5908,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"hand/brightg_bowl",734,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.133333333333333,"kg"
"5909",5909,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"hand/darkg_bowl",533,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.0968210717529519,"kg"
"5910",5910,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"hand",670,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.121707538601272,"kg"
"5911",5911,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"face",901,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.163669391462307,"kg"
"5912",5912,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0,"kg"
"5913",5913,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0,"kg"
"5914",5914,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0,"kg"
"5915",5915,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"torso",501,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.091008174386921,"kg"
"5916",5916,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"legs",136,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.0247048138056312,"kg"
"5917",5917,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"bright_green_bowl",703,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0.127702089009991,"kg"
"5918",5918,"mobileET_ostension_emil_s2_yarbus",3,"bowl_displacement","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",5505,0,"kg"
"5919",5919,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"bright_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5920",5920,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"dark_green_bowl",338,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0.103363914373089,"kg"
"5921",5921,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5922",5922,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5923",5923,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5924",5924,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5925",5925,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"hand",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5926",5926,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"face",705,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0.215596330275229,"kg"
"5927",5927,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5928",5928,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0,"kg"
"5929",5929,"mobileET_ostension_emil_s2_yarbus",3,"choice","Emil9",1,"torso",101,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",3270,0.0308868501529052,"kg"
"5930",5930,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5931",5931,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"hand",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5932",5932,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5933",5933,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"torso",436,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0.326591760299625,"kg"
"5934",5934,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"face",601,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0.450187265917603,"kg"
"5935",5935,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5936",5936,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5937",5937,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5938",5938,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5939",5939,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5940",5940,"mobileET_ostension_emil_s2_yarbus",3,"signaling","Emil9",1,"bright_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","control","r",0,"l","l",1,"","dark_green_bowl","bright_green_bowl",1335,0,"kg"
"5941",5941,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5942",5942,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"bright_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5943",5943,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5944",5944,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5945",5945,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"hand",56,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0.0931780366056572,"kg"
"5946",5946,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5947",5947,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5948",5948,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"face",412,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0.685524126455907,"kg"
"5949",5949,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"torso",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5950",5950,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5951",5951,"mobileET_ostension_emil_s2_yarbus",4,"addressing","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",601,0,"kg"
"5952",5952,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"occluder",1272,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0.17094476548851,"kg"
"5953",5953,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0,"kg"
"5954",5954,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0,"kg"
"5955",5955,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"torso",848,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0.11396317699234,"kg"
"5956",5956,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"face",570,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0.0766026071764548,"kg"
"5957",5957,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0,"kg"
"5958",5958,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"hand",1607,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0.21596559602204,"kg"
"5959",5959,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0,"kg"
"5960",5960,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"legs",358,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0.0481118129283698,"kg"
"5961",5961,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0,"kg"
"5962",5962,"mobileET_ostension_emil_s2_yarbus",4,"baiting","Emil9",1,"bright_green_bowl",401,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",7441,0.0538906061013305,"kg"
"5963",5963,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"hand/brightg_bowl",736,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0.153173777315297,"kg"
"5964",5964,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"bright_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0,"kg"
"5965",5965,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"torso",433,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0.0901144640998959,"kg"
"5966",5966,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0,"kg"
"5967",5967,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0,"kg"
"5968",5968,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"hand/darkg_bowl",1068,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0.222268470343392,"kg"
"5969",5969,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"face",390,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0.081165452653486,"kg"
"5970",5970,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"hand",706,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0.146930280957336,"kg"
"5971",5971,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0,"kg"
"5972",5972,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0,"kg"
"5973",5973,"mobileET_ostension_emil_s2_yarbus",4,"bowl_displacement","Emil9",1,"legs",11,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",4805,0.00228928199791883,"kg"
"5974",5974,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5975",5975,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"dark_green_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5976",5976,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5977",5977,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5978",5978,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5979",5979,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5980",5980,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"torso",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5981",5981,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"face",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5982",5982,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"hand",948,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0.247068021892103,"kg"
"5983",5983,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0,"kg"
"5984",5984,"mobileET_ostension_emil_s2_yarbus",4,"choice","Emil9",1,"bright_green_bowl",370,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3837,0.0964295022152723,"kg"
"5985",5985,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"hand/darkg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5986",5986,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5987",5987,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"bright_green_bowl",1268,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0.351831298557159,"kg"
"5988",5988,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"face",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5989",5989,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"hand",1004,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0.27857935627081,"kg"
"5990",5990,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"hand/brightg_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5991",5991,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"dark_green_bowl",201,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0.0557713651498335,"kg"
"5992",5992,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"handler",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5993",5993,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5994",5994,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"torso",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5995",5995,"mobileET_ostension_emil_s2_yarbus",4,"signaling","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","r",1,"r","l",1,"","bright_green_bowl","bright_green_bowl",3604,0,"kg"
"5996",5996,"mobileET_ostension_emil_s2_yarbus",5,"addressing","Emil9",1,"legs",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","l",1,"l","l",1,"","dark_green_bowl","dark_green_bowl",467,0,"kg"
"5997",5997,"mobileET_ostension_emil_s2_yarbus",5,"addressing","Emil9",1,"open_bowl",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","l",1,"l","l",1,"","dark_green_bowl","dark_green_bowl",467,0,"kg"
"5998",5998,"mobileET_ostension_emil_s2_yarbus",5,"addressing","Emil9",1,"occluder",0,"poodle",24,"m","unneutered","16/09/2020","26/09/2022","p+g","l",1,"l","l",1,"","dark_green_bowl","dark_green_bowl",467,0,"kg"
