"","X","yarbus_file","trial","interest_period","subject","session","aoi","fixation_time","breed","age","sex","neutering_status","birth_date","test_date","condition","baited_side","correct","chosen_side","dark_green_bowl_side","ET_data","comment","chosen_bowl","correct_bowl","ip_duration","prop_fixation_time","experimenter"
"18",18,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"baiting","Arko3",1,"face",205,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",8141,0.0251811816730131,"kg"
"19",19,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"baiting","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",8141,0,"kg"
"20",20,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"baiting","Arko3",1,"torso",3675,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",8141,0.451418744625967,"kg"
"21",21,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"baiting","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",8141,0,"kg"
"22",22,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"baiting","Arko3",1,"hand",1176,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",8141,0.14445399828031,"kg"
"23",23,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"24",24,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"25",25,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"torso",636,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0.128797083839611,"kg"
"26",26,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"dark_green_bowl",110,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0.0222762251923856,"kg"
"27",27,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"hand",1601,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0.324220332118267,"kg"
"28",28,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"29",29,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"face",101,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0.0204536249493722,"kg"
"30",30,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"31",31,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"32",32,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"33",33,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"bowl_displacement","Arko3",1,"legs",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4938,0,"kg"
"34",34,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"face",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"35",35,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"36",36,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"37",37,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"dark_green_bowl",257,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0.0636611345058212,"kg"
"38",38,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"39",39,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"40",40,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"41",41,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"torso",1480,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0.366608867971266,"kg"
"42",42,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"43",43,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"legs",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0,"kg"
"44",44,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"choice","Arko3",1,"hand",234,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",4037,0.057963834530592,"kg"
"45",45,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"46",46,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"47",47,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"48",48,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"legs",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"49",49,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"hand",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"50",50,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"face",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"51",51,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"dark_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"52",52,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"53",53,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"54",54,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,0,"kg"
"55",55,"mobileET_ostension_arco_s1_yarbus_new_part1",1,"signaling","Arko3",1,"torso",3338,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","l",0,"r","r",1,"old warm-up was too long, goggles have to be stuffed because of face shape","dark_green_bowl","bright_green_bowl",3337,1,"kg"
"56",56,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"57",57,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"58",58,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"59",59,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"torso",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"60",60,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"61",61,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"dark_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"62",62,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"63",63,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"hand",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"64",64,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"face",435,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,1,"kg"
"65",65,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"legs",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"66",66,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"addressing","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",434,0,"kg"
"67",67,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"dark_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"68",68,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"face",2703,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0.375052032745941,"kg"
"69",69,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"torso",304,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0.0421812127098654,"kg"
"70",70,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"hand",3240,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0.449562924934092,"kg"
"71",71,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"hand/brightg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"72",72,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"legs",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"73",73,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"hand/darkg_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"74",74,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"bright_green_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"75",75,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"open_bowl",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"76",76,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"occluder",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
"77",77,"mobileET_ostension_arco_s1_yarbus_new_part1",2,"baiting","Arko3",1,"handler",0,"collie",15,"m","unneutered","22/03/2021","14/07/2022","gazing","r",1,"r","r",1,"","dark_green_bowl","dark_green_bowl",7207,0,"kg"
