"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-5.13","1.09","-19.54","-3.84","   NA",NA,"   NA",-4.69425262460347,2.67583194209415e-06
"conditiongazing"," 1.38","1.37"," -2.23","15.68","14.76",4,"0.005",1.00915625884424,0.312899700525157
"conditionp+g"," 2.65","1.05","  1.08","16.59","   NA",NA,"   NA",2.51433353692297,0.0119257587214486
"conditionpointing"," 1.84","1.09"," -0.38","15.72","   NA",NA,"   NA",1.68030872913275,0.0928972635619309
"conditionthrowing","-0.02","1.42","-15.04","13.06","   NA",NA,"   NA",-0.0118482456334666,0.9905466889144
"z.trial","-0.19","0.23"," -0.74"," 0.28"," 0.70",1,"0.403",-0.837898640889048,0.402087632157241
"z.session","-0.13","0.24"," -0.75"," 0.38"," 0.28",1,"0.595",-0.535406960142059,0.59236847828625
"z.age","-0.04","0.26"," -0.71"," 0.56"," 0.02",1,"0.891",-0.137484326109063,0.890647981050459
"sexm"," 0.19","0.54"," -1.06"," 1.43"," 0.12",1,"0.730",0.343066423199383,0.731548490339464
