"","condition","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_corrected"
"1","control",0.418333333333333,-1.85769143693101,0.0787807249724304,19,0.326321121628755,0.510345545037912,"One Sample t-test","two.sided",0.236342174917291
"2","gazing",0.573684210526316,1.84458289849995,0.081619779292877,18,0.489760206873031,0.657608214179601,"One Sample t-test","two.sided",0.236342174917291
"3","p+g",0.720833333333333,3.27665554108186,0.00396855053932039,19,0.57977197583427,0.861894690832397,"One Sample t-test","two.sided",0.0198427526966019
"4","pointing",0.65,3.21385423757872,0.00456997672305635,19,0.552312430822073,0.747687569177927,"One Sample t-test","two.sided",0.0198427526966019
"5","throwing",0.508333333333333,0.203455979297691,0.840941815505811,19,0.422605368098412,0.594061298568254,"One Sample t-test","two.sided",0.840941815505811
