"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 0.08","0.04","   NA",NA,"   NA",2.05122380743352,0.0402451564517623
"conditiongazing"," 0.12","0.04","38.65",4,"0.000",2.69929627040304,0.0069486285884134
"conditionp+g"," 0.23","0.04","   NA",NA,"   NA",6.65078242136648,2.91538996315634e-11
"conditionpointing"," 0.13","0.04","   NA",NA,"   NA",3.77392111186807,0.000160701595942187
"conditionthrowing"," 0.16","0.05","   NA",NA,"   NA",3.418924613759,0.000628691418018159
"z.trial","-0.01","0.01"," 0.83",1,"0.364",-0.908191179902084,0.363777223249683
"z.session"," 0.04","0.02"," 3.97",1,"0.046",2.10081294350826,0.0356573897834159
"z.age","-0.02","0.02"," 1.22",1,"0.269",-1.12527441872321,0.260472766385951
"sexm"," 0.07","0.04"," 2.62",1,"0.106",1.67599530671977,0.093739111910158
