"","Estimate","Std. Error","z value","Pr(>|z|)"
"p+g - gazing",1.95579866521325,0.768393293259897,2.5453093908665,0.0499946649183201
"pointing - gazing",2.1111419897699,0.769718193997092,2.74274663926923,0.0290438334288911
"throwing - gazing",0.22545039271089,1.07130353027521,0.210444926521406,0.996527580508522
"pointing - p+g",0.155343324556655,0.540157453869506,0.287588967705301,0.991270443769459
"throwing - p+g",-1.73034827250236,0.941550157410005,-1.8377653690401,0.244674720166292
"throwing - pointing",-1.88569159705901,0.882809802322214,-2.13601116808937,0.134311379581924
