"","Estimate","Std. Error","z value","Pr(>|z|)"
"p+g - gazing",2.38020746983658,0.623069992628912,3.82012855376617,0.000683762466218263
"pointing - gazing",1.39603946284844,0.632529937628824,2.20707255071879,0.108328067353507
"throwing - gazing",-1.27362110648103,1.27265130185679,-1.00076203483454,0.730552033931792
"pointing - p+g",-0.98416800698814,0.410608146112845,-2.3968545590366,0.0682559848526021
"throwing - p+g",-3.65382857631762,1.24152658110663,-2.94301276502738,0.0146960696310923
"throwing - pointing",-2.66966056932948,1.22533520237217,-2.17871857770934,0.115610441214625
