"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-3.04","0.13","   NA",NA,"   NA",-22.7142692285021,3.23805782945117e-114
"conditiongazing"," 0.13","0.14","20.06",4,"0.000",0.97830672199094,0.327922646301649
"conditionp+g"," 0.72","0.15","   NA",NA,"   NA",4.67571763029581,2.92927438898497e-06
"conditionpointing"," 0.34","0.13","   NA",NA,"   NA",2.52947184282251,0.0114234339510404
"conditionthrowing"," 0.19","0.13","   NA",NA,"   NA",1.40621119989723,0.159661419392453
"z.trial","-0.04","0.05"," 0.74",1,"0.389",-0.85812889356529,0.390821294355163
"z.session","-0.02","0.05"," 0.26",1,"0.610",-0.511180282993824,0.609224823712659
"z.age","-0.04","0.05"," 0.70",1,"0.402",-0.847957194539682,0.396461810151036
"sexm"," 0.05","0.10"," 0.23",1,"0.630",0.483030962684583,0.629073751682466
