"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-0.51","0.23","-1.04","-0.06","   NA",NA,"   NA",-2.19334438963045,0.0282825757050502
"conditiongazing"," 0.62","0.27"," 0.06"," 1.20","20.97",4,"0.000",2.27294172318381,0.0230296920416623
"conditionp+g"," 1.44","0.39"," 0.69"," 2.35","   NA",NA,"   NA",3.67331666186005,0.000239422477366664
"conditionpointing"," 0.97","0.27"," 0.39"," 1.57","   NA",NA,"   NA",3.56706445664243,0.000361002706119905
"conditionthrowing"," 0.34","0.27","-0.20"," 0.91","   NA",NA,"   NA",1.29726552839584,0.194539840867827
"z.trial","-0.02","0.09","-0.20"," 0.18"," 0.03",1,"0.870",-0.163824177243081,0.869869558127992
"z.session"," 0.05","0.09","-0.13"," 0.27"," 0.32",1,"0.574",0.561738881578926,0.574293939114134
"z.age"," 0.11","0.10","-0.09"," 0.34"," 1.13",1,"0.287",1.07617138149998,0.281850616295792
"sexm"," 0.32","0.21","-0.08"," 0.76"," 2.30",1,"0.129",1.5576481374086,0.11931668091931
