"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)"," 0.35","0.17","   NA",NA,"   NA",2.04697119949884,0.0406609124201974
"conditiongazing","-0.37","0.21","62.27",4,"0.000",-1.7840659707437,0.0744129459953979
"conditionp+g","-1.26","0.18","   NA",NA,"   NA",-7.15556978436904,8.33260861888553e-13
"conditionpointing","-1.03","0.18","   NA",NA,"   NA",-5.70059176733672,1.19392239899708e-08
"conditionthrowing","-0.97","0.18","   NA",NA,"   NA",-5.49519657469635,3.90275437100234e-08
"z.trial","-0.03","0.07"," 0.28",1,"0.594",-0.535854198403785,0.592059321032491
"z.session","-0.19","0.11"," 2.65",1,"0.103",-1.68368868200874,0.0922418497948807
"z.age","-0.03","0.09"," 0.07",1,"0.785",-0.273611561663433,0.78438314802867
"sexm","-0.26","0.18"," 1.87",1,"0.171",-1.39935107251112,0.16170773128899
